time,seconds_elapsed,z,y,x,z,y,x
1.76967E+18,10.27615747,0.034780806,0.002033479,-0.0279202,0.000735076,0.000588386,0.002331696
1.76967E+18,10.28614624,0.035562312,-0.008729031,-0.028022126,0.000310035,0.002529032,0.00065204
1.76967E+18,10.29613428,0.029893618,-0.009292802,-0.039353448,-0.000927919,0.002500003,-0.001558959
1.76967E+18,10.30612329,0.0236141,-0.000514087,-0.034294265,0.000276363,-0.000101106,-7.74427E-05
1.76967E+18,10.31611157,0.014777882,-0.011140183,-0.030178281,-0.00100542,-0.002047367,-0.001083329
1.76967E+18,10.32610034,0.029414311,-0.027389892,-0.02559709,2.41584E-05,-0.002858566,0.00065971
1.76967E+18,10.33608936,0.016380641,-0.020545579,-0.016788199,0.000119545,-0.001570476,-0.000168677
1.76967E+18,10.34607739,-0.000523732,-0.011320874,-0.021873101,0.000472946,0.000634355,0.002056661
1.76967E+18,10.35606641,0.013711714,-0.014391806,-0.029084713,4.17418E-05,0.001081907,-0.000390725
1.76967E+18,10.36605444,0.016269582,-0.006187237,-0.013557912,0.00024787,0.000658731,0.001183203
1.76967E+18,10.37604346,0.033638066,-0.019749899,-0.01951872,-0.000981212,-0.000619147,0.001051725
1.76967E+18,10.38603149,0.032159225,-0.034109848,-0.019464944,0.000531197,0.000410431,0.001345471
1.76967E+18,10.39602026,0.018862521,-0.018986513,-0.011593626,-0.000167751,0.000450025,0.001078826
1.76967E+18,10.40600854,0.012742577,-0.016066023,-0.016745821,0.001305244,0.000887849,3.85949E-05
1.76967E+18,10.41599731,0.02547814,-0.010255948,-0.026337753,0.000632335,0.001610544,0.000840773
1.76967E+18,10.42598535,0.027001404,-0.011928777,-0.021779139,-2.4401E-05,0.001944238,3.56992E-05
1.76967E+18,10.43597461,0.029852702,-0.004026844,-0.015928075,-0.000951081,0.000987025,-0.002951893
1.76967E+18,10.44596338,0.038216041,0.000262012,-0.017691505,0.00014268,0.004114908,-0.001453066
1.76967E+18,10.45595117,0.021510406,-0.014576295,-0.019313991,0.000475035,0.005430776,0.000196258
1.76967E+18,10.46594043,-0.001343816,-0.00879837,-0.012894991,0.000173299,0.0025258,-0.001193646
1.76967E+18,10.47592847,0.025303368,-0.002701879,-0.014500381,3.13874E-05,0.000164786,-0.000257511
1.76967E+18,10.48591748,0.010949264,-0.016062954,-0.031225598,0.000297437,0.001840714,-0.001370446
1.76967E+18,10.49590527,0.018140052,0.008937924,-0.02984503,-0.000232161,0.000112063,-0.001084895
1.76967E+18,10.50589429,0.033264556,-0.012081264,-0.024637452,-0.000954411,0.004719598,-0.001043616
1.76967E+18,10.51588232,0.01160276,-0.017623627,-0.013426906,-0.000694403,0.003412446,-0.001312085
1.76967E+18,10.52587158,0.006551321,-0.012702172,-0.02123568,-0.000576159,0.003542675,-0.002267095
1.76967E+18,10.53586035,0.027982232,-0.014160846,-0.029291853,-0.000762637,0.004263246,0.000637407
1.76967E+18,10.54584839,0.027106618,-0.011071064,-0.026771687,0.000566281,0.001165457,-0.001559967
1.76967E+18,10.5558374,0.034289808,-0.010990181,-0.027006957,-0.000376518,0.000588631,0.000369718
1.76967E+18,10.56582544,0.026958734,-0.021571269,-0.018586043,-0.00085855,-0.001069719,-0.000728836
1.76967E+18,10.57581421,0.016934768,-0.01350852,-0.027261005,7.08442E-05,0.001115073,0.000917247
1.76967E+18,10.58580225,0.005122165,-0.009398747,-0.015159356,-0.00011105,0.001447702,-0.001480663
1.76967E+18,10.5957915,0.021600422,-0.012629107,-0.020936405,-0.000313986,0.002528575,0.001300203
1.76967E+18,10.6057793,0.028062311,-0.015533669,-0.033600876,0.000123038,0.001404188,0.001339352
1.76967E+18,10.61576831,0.010581015,-0.009606617,-0.030118294,0.00098961,0.001301013,0.000203256
1.76967E+18,10.62575635,0.013447511,-0.011589389,-0.020050051,0.000469228,0.002542312,0.00037796
1.76967E+18,10.63574536,0.021989713,-0.00573584,-0.021872517,0.001574618,0.000449514,-0.000791781
1.76967E+18,10.64573462,0.004647534,-0.007642843,-0.018108196,-0.000250446,0.001430356,0.000115824
1.76967E+18,10.65572266,-0.000559972,-0.015781945,-0.01937332,0.000510984,0.003061892,0.000169097
1.76967E+18,10.66571118,0.026556583,-0.014113719,-0.021759485,0.000911523,0.004778299,-0.000294293
